feature,importance,project,model
VCC_w2,0.022073,harfbuzz,XGBoost
VCC_w3,0.020275423,harfbuzz,XGBoost
VCC_w4,0.012429501,harfbuzz,XGBoost
VCC_w5,0.010905338,harfbuzz,XGBoost
VCC_w6,0.007971658,harfbuzz,XGBoost
VCC_w7,0.023882361,harfbuzz,XGBoost
VCC_w8,0.02052432,harfbuzz,XGBoost
VCC_w9,0.007814832,harfbuzz,XGBoost
VCC_f10_nb_added_line,0.046989355,icu,XGBoost
VCC_f11_nb_removed_line,0.012859507,icu,XGBoost
VCC_f12_diff_line,0.03440303,icu,XGBoost
VCC_f13_sum_line,0.02656528,icu,XGBoost
VCC_f14_nb_added_paren,0.03105042,icu,XGBoost
VCC_f15_nb_removed_paren,0.016676012,icu,XGBoost
VCC_f16_diff_paren,0.03226535,icu,XGBoost
VCC_f17_sum_paren,0.01389629,icu,XGBoost
VCC_f18_nb_added_bool,0.0014038809,icu,XGBoost
VCC_f19_nb_removed_bool,0.011064348,icu,XGBoost
VCC_f1_sum_file_change,0.01977844,icu,XGBoost
VCC_f20_diff_bool,0.0025367767,icu,XGBoost
VCC_f21_sum_bool,0.0006224804,icu,XGBoost
VCC_f22_nb_added_assignement,0.0023559283,icu,XGBoost
VCC_f23_nb_removed_assignement,0.006334235,icu,XGBoost
VCC_f24_diff_assignement,0.008510659,icu,XGBoost
VCC_f25_sum_assignement,0.0020640413,icu,XGBoost
VCC_f26_nb_added_function,0.003295368,icu,XGBoost
VCC_f27_nb_removed_function,0.0014902877,icu,XGBoost
VCC_f28_diff_function,0.0035581705,icu,XGBoost
VCC_f29_sum_function,0.0035615894,icu,XGBoost
VCC_f2_nb_added_loop,0.0027405426,icu,XGBoost
VCC_f3_nb_removed_loop,0.002604122,icu,XGBoost
