strategy,project,date,scheduled_additional_builds
strategy1_median,ghostscript,2023-06-30 00:00:00+00:00,5
strategy1_median,ghostscript,2023-07-06 00:00:00+00:00,5
strategy1_median,ghostscript,2023-07-07 00:00:00+00:00,5
strategy1_median,ghostscript,2023-07-08 00:00:00+00:00,5
strategy1_median,ghostscript,2023-07-19 00:00:00+00:00,5
strategy1_median,ghostscript,2023-07-23 00:00:00+00:00,5
strategy1_median,ghostscript,2023-07-27 00:00:00+00:00,5
strategy1_median,ghostscript,2023-08-05 00:00:00+00:00,5
strategy1_median,ghostscript,2023-08-06 00:00:00+00:00,5
strategy1_median,ghostscript,2023-08-11 00:00:00+00:00,5
strategy1_median,ghostscript,2023-08-31 00:00:00+00:00,5
strategy1_median,ghostscript,2023-10-04 00:00:00+00:00,5
